iter	Passed	Remaining
610	1674	1066
611	1677	1063
612	1680	1061
613	1684	1058
614	1687	1056
615	1691	1054
616	1693	1051
617	1696	1048
618	1698	1045
619	1700	1042
620	1702	1039
621	1705	1036
622	1708	1033
623	1710	1030
624	1712	1027
625	1714	1024
626	1717	1021
627	1719	1018
628	1721	1015
629	1723	1012
630	1726	1009
631	1728	1006
632	1730	1003
633	1733	1000
634	1735	997
635	1737	994
636	1739	991
637	1742	988
638	1744	985
639	1747	982
640	1749	979
641	1751	976
642	1754	973
643	1756	970
644	1758	967
645	1760	964
646	1763	961
647	1765	958
648	1767	955
649	1769	952
650	1772	950
651	1774	947
652	1776	944
653	1778	941
654	1781	938
655	1783	935
656	1785	932
657	1787	929
658	1790	926
659	1792	923
660	1794	920
661	1796	917
662	1799	914
663	1801	911
664	1803	908
665	1805	905
666	1808	902
667	1810	899
668	1812	896
669	1814	893
670	1817	891
671	1819	888
672	1821	885
673	1824	882
674	1826	879
675	1828	876
676	1830	873
677	1832	870
678	1835	867
679	1837	864
680	1839	861
681	1841	858
682	1844	855
683	1847	853
684	1850	850
685	1852	847
686	1854	844
687	1856	842
688	1859	839
689	1861	836
690	1863	833
691	1865	830
692	1868	827
693	1870	824
694	1872	821
695	1875	819
696	1877	816
697	1880	813
698	1882	810
699	1885	807
700	1887	805
701	1889	802
702	1891	799
703	1894	796
704	1896	793
705	1898	790
706	1900	787
707	1902	784
708	1905	782
709	1907	779
710	1909	776
711	1912	773
712	1914	770
713	1917	767
714	1919	765
715	1921	762
716	1924	759
717	1926	756
718	1928	753
719	1930	750
720	1933	748
721	1935	745
722	1937	742
723	1940	739
724	1942	736
725	1944	733
726	1946	731
727	1949	728
728	1951	725
729	1953	722
730	1956	719
731	1958	716
732	1960	714
733	1962	711
734	1965	708
735	1967	705
736	1969	702
737	1971	700
738	1974	697
739	1976	694
740	1978	691
741	1981	688
742	1983	686
743	1985	683
744	1987	680
745	1990	677
746	1992	674
747	1995	672
748	1997	669
749	1999	666
750	2002	663
751	2004	660
752	2006	658
753	2008	655
754	2010	652
755	2013	649
756	2015	646
757	2018	644
758	2020	641
759	2022	638
760	2024	635
761	2027	633
762	2029	630
763	2032	627
764	2034	624
765	2036	622
766	2039	619
767	2041	616
768	2043	613
769	2046	611
770	2048	608
771	2050	605
772	2052	602
773	2055	600
774	2057	597
775	2059	594
776	2062	591
777	2064	589
778	2066	586
779	2068	583
780	2070	580
781	2073	577
782	2075	575
783	2077	572
784	2080	569
785	2082	566
786	2084	564
787	2086	561
788	2089	558
789	2091	555
790	2093	553
791	2096	550
792	2098	547
793	2100	545
794	2103	542
795	2105	539
796	2107	536
797	2109	534
798	2112	531
799	2114	528
800	2116	525
801	2119	523
802	2121	520
803	2123	517
804	2126	515
805	2129	512
806	2131	509
807	2133	507
808	2136	504
809	2138	501
810	2140	498
811	2143	496
812	2145	493
813	2147	490
814	2149	487
815	2152	485
816	2154	482
817	2156	479
818	2158	477
819	2161	474
820	2163	471
821	2166	469
822	2168	466
823	2170	463
824	2172	460
825	2174	458
826	2178	455
827	2181	453
828	2184	450
829	2187	448
830	2191	445
831	2193	442
832	2196	440
833	2198	437
834	2200	434
835	2202	432
836	2205	429
837	2207	426
838	2210	424
839	2212	421
840	2214	418
841	2216	416
842	2219	413
843	2221	410
844	2223	407
845	2225	405
846	2228	402
847	2230	399
848	2232	397
849	2235	394
850	2237	391
851	2239	389
852	2241	386
853	2243	383
854	2246	380
855	2248	378
856	2250	375
857	2252	372
858	2254	370
859	2257	367
860	2259	364
861	2261	362
862	2263	359
863	2266	356
864	2268	354
865	2270	351
866	2272	348
867	2275	345
868	2277	343
869	2279	340
870	2281	337
871	2284	335
872	2286	332
873	2288	329
874	2290	327
875	2292	324
876	2295	321
877	2297	319
878	2299	316
879	2302	313
880	2304	311
881	2307	308
882	2309	306
883	2312	303
884	2315	300
885	2317	298
886	2319	295
887	2322	292
888	2325	290
889	2329	287
890	2331	285
891	2334	282
892	2337	280
893	2340	277
894	2343	274
895	2345	272
896	2347	269
897	2350	266
898	2352	264
899	2355	261
900	2358	259
901	2360	256
902	2362	253
903	2364	251
904	2367	248
905	2369	245
906	2372	243
907	2375	240
908	2377	237
909	2379	235
910	2381	232
911	2384	230
912	2387	227
913	2389	224
914	2392	222
915	2394	219
916	2396	216
917	2398	214
918	2401	211
919	2404	209
920	2406	206
921	2409	203
922	2412	201
923	2415	198
924	2418	196
925	2421	193
926	2424	190
927	2455	190
928	2459	187
929	2462	185
930	2464	182
931	2467	180
932	2470	177
933	2472	174
934	2475	172
935	2478	169
936	2483	166
937	2487	164
938	2490	161
939	2493	159
940	2496	156
941	2499	153
942	2502	151
943	2505	148
944	2507	145
945	2509	143
946	2511	140
947	2514	137
948	2517	135
949	2519	132
950	2521	129
951	2524	127
952	2527	124
953	2529	121
954	2532	119
955	2535	116
956	2538	114
957	2541	111
958	2545	108
959	2548	106
960	2551	103
961	2555	100
962	2558	98
963	2560	95
964	2563	92
965	2565	90
966	2568	87
967	2570	84
968	2573	82
969	2576	79
970	2578	77
971	2582	74
972	2585	71
973	2588	69
974	2592	66
975	2595	63
976	2599	61
977	2601	58
978	2605	55
979	2608	53
980	2611	50
981	2615	47
982	2617	45
983	2621	42
984	2623	39
985	2626	37
986	2628	34
987	2631	31
988	2633	29
989	2636	26
990	2639	23
991	2642	21
992	2646	18
993	2649	15
994	2651	13
995	2654	10
996	2656	7
997	2658	5
998	2661	2
999	2664	0
